Product_name,Rating,Price,Discount_rate,Customer_reviews,Category,Sub_Category
Blue Light Block Glasses Men & Women Anti Eye Strain Headache Computer Video Gaming Glasses Gamer Filter Screen Glare UV Protective Blocker Clear Lens Rectangle Wide Nerd Small Black Lightweight Frame,5.0,550.0,(-31%),1 Customer reviews,Vision Care,Eyeglasses Care
"10pcs Tattoo Cartridge Needles, Various Sizes, Short Needles for Tattoo Pen",5.0,669.0,65% off,2 Customer reviews,Tattoo Supplies,Tattoo Needles
U-shaped Baby Toothbrush Children 360 Degree Child Toothbrushes Teethers Soft Silicone Toddlers Brush Kids Teeth Oral Care Cleaning Newborn,4.0,199.0,(-43%),29 Customer reviews,Children's Dental Care,Manual Toothbrushes
"SADOER Skin Care Effective Turmeric Face Soap, Like Vitamin C, Anti Acne Soap, Skin Moisturizing, Deep Cleansing, Acne Removal, Skin Repair Face & Body Tumeric Soap - 100g",4.8,249.0,75% off,18 Customer reviews,Body,Soaps
New Arrival Men Perfume Different Fragrances Dau de Parfum Long Lasting Business Classic Fragrance Woody Mature Fragrance & Deodorant,4.5,879.0,56% off,232 Customer reviews,Beauty,Fragrance
New Arrival Lipstick makeup Discoloration lipstick Moisturizing Waterproof Colorless Non Staining Cup Transparent Lipstick Petal LipstickPetal jelly color changing lipstick New Arrival Lipstick retouched,4.5,399.0,(-69%),153 Customer reviews,Beauty,Make Up
Dr. Rashel Vitamin C & Hyaluronic Moisturizing Sunscreen Lotion SPF 50 Sunblock Sun Protection Skin Care Cream Lotion,4.5,550.0,63% off,76 Customer reviews,Sunscreens & Tanning Products,Tanning Oils & Lotions
Eyeliner Pen Waterproof Long Lasting Eye Liner Pencil Quick Drying Not Bloom Natural Eyeliner Liquid Pen Cosmetic Tools Professional Makeup,4.1,179.0,70% off,134 Customer reviews,Beauty,Make Up
"Sadoer Turmeric Cream, Tumeric Cream Anti Oxidation, Face Cream For Deep Moisturizing akin to Vitamin C, Prevents Acnes, Oil Control and Soothing, skin Repair",4.4,329.0,84% off,228 Customer reviews,Face,Creams & Moisturizers
"7PCS/Set Ear Pick Earwax Removal Kit, Ear Cleansing Tool Set, Ear Curette Ear Wax Remover Tool with Cleaning Brush and Box",4.8,238.0,76% off,12 Customer reviews,Ear Care,Earwax Removal
2-layer Blade Shaver for Men Reusable Safety Manual Razors 12 head universal Anti-Slip Handle Replacement Blades Shaving Bathing Travel factory price Kenya in stock12 blade heads for free,4.2,399.0,60% off,20 Customer reviews,Men's,Razors & Blades
USN® Super Grow Beast is the ultimate mass gainer,4.5,1499.0,(-25%),23 Customer reviews,Sports Nutrition,Weight Gainers
DIY sectional Fake eyelashes 14 rows with large capacity glue tweezers set eyelashes combination,4.3,949.0,(-51%),11 Customer reviews,Beauty,Make Up Tool & Accessories
Ladies Electric Shaver Professional Painless Hair Remover Wet/Dry Use Electric Epilator for Women Rechargeable Bikini Trimmer,4.2,1750.0,(-39%),62 Customer reviews,Women's,Electric Shavers
Super Sonic Men/Women Electric Toothbrushes With 4 Brush Heads Smart Timer Whitening IPX7 Powered Toothbrushes Health care Personal Care,4.6,799.0,(-60%),335 Customer reviews,Toothbrushes & Accessories,Powered Toothbrushes & Accessories
"JAPANESE CHERRY BLOSSOM 4 in 1 Set Pump Lotion, Splash, Gel & Cream",4.6,1399.0,30% off,17 Customer reviews,Bath,Bath Pearls & Flakes
Finger Grip Trainer Puller Wrist Strengthener Basketball Corrector Vein Trainer Guitar Finger Exerciser Rehabilitation Therapy Tool Patient Hand Strength Trainer Sports Wellness Relaxation Massagers,5.0,429.0,69% off,0 Customer reviews,Massage Tools & Equipment,Arm Massagers
"Menstrual Cups - Tampon, Pad, and Disc Alternative Product Reusable Period Cup/Copa Designed with Soft Flexible Medical",4.5,319.0,(-53%),57 Customer reviews,Feminine Care,Sanitary Napkins
"New Arrival Perfume 🚨. AXE - 100ml Cologne for any man going for a fresh, cool vibe. Long lasting mode for all seasons. Everyday signature scent.",4.5,2300.0,(-36%),2 Customer reviews,Beauty,Fragrance
Magic Silicone Brushes Bath Towels Rubbing Back Mud Peeling Body Massage Shower Bathroom Products Bath & Bathing Accessories > Bath > Bath Accessories,4.1,269.0,66% off,427 Customer reviews,Bath,Bath Accessories
